2018-11-15T01:00:00, Slot A, heavy traffic, other, weather conditions, Slot B, heavy traffic, weather conditions, other
2018-11-22T01:00:00, Slot A, heavy traffic, other, mechanical problem, Slot B, heavy traffic, late return from field trip, other
2018-11-29T01:00:00, Slot A, heavy traffic, other, mechanical problem, Slot B, heavy traffic, other, mechanical problem
2018-12-06T01:00:00, Slot A, heavy traffic, other, flat tire, Slot B, heavy traffic, other, mechanical problem
2018-12-13T01:00:00, Slot A, other, heavy traffic, mechanical problem, Slot B, heavy traffic, mechanical problem, other
2018-12-20T01:00:00, Slot A, heavy traffic, mechanical problem, other, Slot B, mechanical problem, other,
2018-12-27T01:00:00, Slot A, heavy traffic, other, won`t start, Slot B, won`t start
2019-01-03T01:00:00, Slot A, heavy traffic, other, mechanical problem, Slot B, heavy traffic, other, mechanical problem
2019-01-10T01:00:00, Slot A, heavy traffic, other, mechanical problem, Slot B, heavy traffic, other, mechanical problem
2019-01-17T01:00:00, Slot A, heavy traffic, mechanical problem, other, Slot B, heavy traffic, other, mechanical problem
2019-01-24T01:00:00, Slot A, heavy traffic, other, mechanical problem, Slot B, heavy traffic, other, mechanical problem
2019-01-31T01:00:00, Slot A, heavy traffic, mechanical problem, other, Slot B, heavy traffic, mechanical problem, other
2019-02-07T01:00:00, Slot A, heavy traffic, other, mechanical problem, Slot B, heavy traffic, mechanical problem, other
2019-02-14T01:00:00, Slot A, heavy traffic, other, mechanical problem, Slot B, heavy traffic, other, mechanical problem
2019-02-21T01:00:00, Slot A, heavy traffic, other, mechanical problem, Slot B, heavy traffic, other, mechanical problem
2019-02-28T01:00:00, Slot A, heavy traffic, other, mechanical problem, Slot B, heavy traffic, other, mechanical problem
2019-03-07T01:00:00, Slot A, heavy traffic, other, mechanical problem, Slot B, heavy traffic, other, mechanical problem
2019-03-14T01:00:00, Slot A, heavy traffic, other, mechanical problem, Slot B, heavy traffic, other, mechanical problem
2019-03-21T01:00:00, Slot A, heavy traffic, other, mechanical problem, Slot B, heavy traffic, mechanical problem, other
2019-03-28T01:00:00, Slot A, heavy traffic, other, mechanical problem, Slot B, heavy traffic, other, mechanical problem
2019-04-04T02:00:00, Slot A, heavy traffic, other, mechanical problem, Slot B, heavy traffic, other, mechanical problem
2019-04-11T02:00:00, Slot A, heavy traffic, other, mechanical problem, Slot B, heavy traffic, other, mechanical problem
2019-04-18T02:00:00, Slot A, heavy traffic, other, Slot B, heavy traffic,
2019-04-25T02:00:00, Slot A, heavy traffic, other, Slot B, heavy traffic, won`t start, late return from field trip,
2019-05-02T02:00:00, Slot A, heavy traffic, other, won`t start, Slot B, mechanical problem, heavy traffic, won`t start
2019-05-09T02:00:00, Slot A, heavy traffic, other, flat tire, Slot B, heavy traffic, flat tire, other
2019-05-16T02:00:00, Slot A, heavy traffic, other, mechanical problem, Slot B, heavy traffic, late return from field trip, other
2019-05-23T02:00:00, Slot A, heavy traffic, other, mechanical problem, Slot B, heavy traffic, late return from field trip, other
2019-05-30T02:00:00, Slot A, heavy traffic, other, mechanical problem, Slot B, heavy traffic, late return from field trip, mechanical problem
2019-06-06T02:00:00, Slot A, heavy traffic, other, mechanical problem, Slot B, heavy traffic, late return from field trip, other
2019-06-13T02:00:00, Slot A, heavy traffic, other, mechanical problem, Slot B, heavy traffic, other, mechanical problem
2019-06-20T02:00:00, Slot A, heavy traffic, other, mechanical problem, Slot B, heavy traffic, other, mechanical problem
2019-06-27T02:00:00, Slot A, heavy traffic, mechanical problem, other, Slot B, other, heavy traffic,
2019-08-29T02:00:00, Slot A, heavy traffic, other, mechanical problem, Slot B, heavy traffic, mechanical problem, other
2019-09-05T02:00:00, Slot A, heavy traffic, other, mechanical problem, Slot B, heavy traffic, mechanical problem, other
2019-09-12T02:00:00, Slot A, heavy traffic, other, mechanical problem, Slot B, heavy traffic, mechanical problem, other
2019-09-19T02:00:00, Slot A, heavy traffic, other, problem run, Slot B, heavy traffic, mechanical problem, other
2019-09-26T02:00:00, Slot A, heavy traffic, other, mechanical problem, Slot B, heavy traffic, mechanical problem, other
2019-10-03T02:00:00, Slot A, heavy traffic, other, mechanical problem, Slot B, heavy traffic, mechanical problem, other
2019-10-10T02:00:00, Slot A, heavy traffic, other, mechanical problem, Slot B, heavy traffic, other, mechanical problem
2019-10-17T02:00:00, Slot A, heavy traffic, other, mechanical problem, Slot B, heavy traffic, mechanical problem, other
2019-10-24T02:00:00, Slot A, heavy traffic, other, mechanical problem, Slot B, heavy traffic, other, late return from field trip
2019-10-31T01:00:00, Slot A, heavy traffic, other, mechanical problem, Slot B, heavy traffic, other, mechanical problem
2019-11-07T01:00:00, Slot A, heavy traffic, other, mechanical problem, Slot B, heavy traffic, other, mechanical problem
2019-11-14T01:00:00, Slot A, heavy traffic, other, mechanical problem, Slot B, heavy traffic, other, mechanical problem
